oa21cd,oa_median_priceper,oa_mean_priceper,oa_avg_price,transaction_count,postcode_count,source_file_count
E00000160,2382.35294117647,2719.3799755022,221292.75862068965,29,3,1
E00000161,2090.96608089897,2403.3173602018046,181741.77777777778,36,5,1
E00000162,2238.403457414215,2403.331905285993,192816.30952380953,42,2,1
E00000163,1865.96256239197,2078.90400145137,141851.81818181818,44,5,1
E00000164,1954.78713768116,2171.169419271237,160804.21875,64,5,1
E00000165,2350.3284562556,2504.332059154869,223324.05405405405,74,6,1
E00000166,2534.24657534247,2683.35059526315,167525.08474576272,59,2,1
E00000167,2345.61728395062,2663.4353331095012,246696.9014084507,71,4,1
E00000168,2040.6956110256701,2178.385841585677,189323.89423076922,104,4,1
E00000169,1673.79679144385,1893.9725629465263,158903.72340425532,47,4,1
E00000170,2317.5151049146098,2504.27949128456,183102.2435897436,78,7,1
E00000171,2713.72930866602,2953.64586928394,245926.97916666666,48,7,1
E00000172,2310.51385954981,2596.5263463574233,206864.76744186046,86,4,1
E00000173,2192.93359545653,2438.2580095821077,202710.10204081633,98,7,1
E00000174,2284.53125,2535.271925934347,186267.28813559323,118,3,1
E00000175,2038.83495145631,2225.7622152697777,175900.04273504275,117,3,1
E00000176,2341.4975177064352,2602.8349030130994,227629.88636363635,88,4,1
E00000177,1913.952962460425,2226.410177474778,149638.8,50,5,1
E00000178,2237.22222222222,2301.183693348302,189826.04166666666,96,3,1
E00000179,2408.582186730335,2589.7932519747906,227703.125,112,4,1
E00000180,2036.58536585366,2257.9398781166815,196472.27848101265,79,5,1
E00000181,2851.515151515155,2863.4023444681975,243343.18852459016,122,3,1
E00000182,2720.75923392613,2979.9379541625117,256003.0487804878,82,5,1
E00000183,2512.01923076923,2848.940237523818,243646.04166666666,144,6,1
E00000184,2841.36212624585,2906.1674264930984,284611.98863636365,88,3,1
E00000185,2519.39937518895,2800.993084225798,269315.77464788733,71,3,1
E00000186,2671.05263157895,2836.9150825456886,254363.65979381444,97,6,1
E00000187,2559.1778880226802,2690.173501633605,209769.19642857142,56,6,1
E00000188,3097.82608695652,3017.3209170058426,257065.18181818182,77,3,1
E00000189,2801.20481927711,3056.2524753448274,264272.5882352941,85,5,1
E00000190,2328.1458607817303,2733.522790816968,228768.72826086957,92,6,1
E00000191,2419.35483870968,2542.4510646967756,165266.91397849462,279,3,1
E00000192,2445.65217391304,2629.673501989151,192417.27053140098,207,3,1
E00000193,2415.5592469546,2615.4253948851897,171986.15720524016,229,3,1
E00000194,3161.09422492401,3191.9339657674614,248596.60215053763,93,5,1
E00000195,2793.10344827586,2944.507178317484,234360.96899224806,129,4,1
E00000196,2261.257627831945,2491.769758672712,204053.62686567163,134,3,1
E00000197,2598.90268553277,2769.1114035883998,225781.51376146788,109,4,1
E00000198,2133.7011418533148,2133.7011418533148,100500.0,2,1,1
E00000199,2143.0555555555547,2245.2790821382523,152720.89285714287,112,6,1
E00000200,2134.763556116015,2332.2394591241227,163851.58163265305,98,5,1
E00000201,1795.755531101585,2060.4871380379564,153123.66666666666,150,3,1
E00000202,2196.9696969697,2373.328138904311,176451.3033707865,89,4,1
E00000203,2133.444837990295,2192.906155451464,162437.25,100,3,1
E00000204,2358.02469135802,2590.1498538316396,193417.47422680413,97,5,1
E00000205,2651.16279069767,2892.487561396559,268328.9195402299,87,4,1
E00000206,2195.3125,2320.5049254411933,139781.48780487804,82,10,1
E00000207,2314.28571428571,2417.4532200557323,178932.95061728396,81,4,1
E00000208,2429.653204565405,2694.730754174714,174373.15384615384,130,4,1
E00000209,2127.4870129054652,2399.654691729515,184313.76315789475,76,3,1
E00000210,2333.01752723828,2406.6790932379254,173617.86915887852,107,5,1
